WeekStart,Channel,Visitors,Leads,MQLs,SQLs,Customers,AdSpend
2025-04-14,Google Ads,3477,498,256,105,29,64733.31
2025-06-09,Google Ads,4591,667,364,165,54,76120.79
2025-06-16,Organic Search,2837,284,158,80,31,0.0
2025-03-03,Organic Search,1780,181,98,52,15,0.0
2025-11-17,Facebook/Instagram Ads,4160,499,199,58,11,45006.95
2025-11-10,Referral,1244,389,307,177,96,3539.44
2025-03-10,Organic Search,2393,214,129,58,22,0.0
2025-10-20,Direct/Other,889,107,47,20,6,926.19
2025-04-21,Google Ads,2898,412,259,115,30,49566.64
2025-03-03,Google Ads,3403,559,308,127,41,66770.11
2025-04-28,Direct/Other,1117,142,72,28,6,1023.15
2025-10-06,Referral,849,210,155,103,45,2342.03
2025-09-08,Direct/Other,799,105,47,17,4,788.99
2025-10-27,Email Marketing,1283,298,176,79,33,2765.74
2025-03-24,Google Ads,3323,457,279,108,27,58583.19
2025-07-14,Google Ads,4830,814,434,178,61,91641.82
2025-12-15,Facebook / Instagram Ads ,3252,434,208,67,15,41977.25
2025-02-24,Direct/Other,848,102,55,23,6,910.9
2025-12-01,Organic Search,2210,246,153,63,20,0.0
2025-11-24,Google Ads,6291,940,546,236,72,107072.54
2025-11-24,Facebook/Instagram Ads,5109,551,270,95,21,55727.97
2025-06-30,Referral,1081,275,206,111,59,3370.8
2025-11-10,Direct/Other,1193,182,91,31,7,1189.91
2025-12-08,Direct/Other,887,136,60,22,6,962.25
2025-05-05,Referral,821,238,166,97,43,2407.68
2025-08-04,Facebook/Instagram Ads,2873,355,180,64,12,32218.42
2025-05-26,Email Marketing,1045,251,178,77,28,2168.57
2025-11-17,Google Ads,5838,952,595,221,76,102068.85
2025-07-07,Google Ads,5170,743,378,133,44,85533.0
2025-06-16,Facebook / Instagram Ads ,3648,389,187,53,9,44290.54
2025-11-03,Facebook/Instagram Ads,3653,445,179,65,12,44366.27
2025-11-17,Direct/Other,1220,175,84,27,8,1271.82
2025-02-03,Google Ads,3834,588,301,103,30,75079.57
2025-02-10,Email Marketing,1058,210,140,61,23,2185.55
2025-02-24,Facebook/Instagram Ads,3434,382,164,56,12,37219.94
2025-08-18,Google Ads,3404,512,250,114,35,65168.25
2025-07-28,Organic Search,2515,237,121,59,21,0.0
2025-08-18,Direct/Other,705,110,47,17,4,700.59
2025-06-02,Direct/Other,934,136,58,19,5,988.94
2025-12-29,Email Marketing,1191,270,176,97,33,2170.56
2025-09-29,Organic Search,2617,274,157,67,22,0.0
2025-02-24,Google Ads,3853,699,401,142,43,73772.84
2025-07-14,Direct/Other,1042,155,69,22,6,1010.52
2025-10-20,Email Marketing,1135,283,200,85,29,2076.9
